Item ,Sim-Plaqueta,Não-Plaqueta,TOMBO,DESCRIÇÃO,Nº DE SÉRIE,UNIDADE ADMINISTRATIVA,DEPARTAMENTO,SALA,LOCALIZADO,Estado de Conservação,,,,Classificação,,,,,
1121,X,,47158,AR CONDICIONADO 12.000 BTUS (CONDENSADORA)ELETROLUX/ELETROLUX/SPLIT 12.000 BTUS,302AZPV80864,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,ADMINISTRAÇÃO,,,,,,X,,X,,,X,
2689,X,,40653,ARMARIO/ARTILINE/,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,ADMINISTRAÇÃO,,,,,X,,X,,,,,
9875,X,,48163,"CAMERA DIGITAL JX580 16.1 MP, 5X DE ZOOM OPTICO, FILMA EM HD,FOTO/FUJI/FINEPIX JX580",2RB39664,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,ADMINISTRAÇÃO,,,,,,X,,X,,,,X
15090,X,,37172,FONTE DE ENERGIA//,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,ADMINISTRAÇÃO,,,,,,X,,X,,,,X
16586,X,,8533,IMPRESSORA P/COMPUTADOR/EPSON/FX-890,FCSM072984,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,ADMINISTRAÇÃO,,,,,,X,,X,,,,X
16587,X,,18105,IMPRESSORA P/COMPUTADOR/EPSON/FX-890,E8BY369690,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,ADMINISTRAÇÃO,,,,,,X,,X,,,,X
16588,X,,18264,IMPRESSORA P/COMPUTADOR/EPSON/FX-890,E8BY356080,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,ADMINISTRAÇÃO,,,,,,X,,X,,,,X
16589,X,,18268,IMPRESSORA P/COMPUTADOR/EPSON/FX-890,E8BY359230,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,ADMINISTRAÇÃO,,,,,,X,,X,,,,X
16590,X,,37599,IMPRESSORA P/COMPUTADOR/EPSON/FX-890,NZFM003440,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,ADMINISTRAÇÃO,,,,,,X,,X,,,,X
16591,X,,37633,IMPRESSORA P/COMPUTADOR/EPSON/FX-890,NZFM003404,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,ADMINISTRAÇÃO,,,,,,X,,X,,,,X
16646,X,,2320,IMPRESSORA P/COMPUTADOR/HP/,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,ADMINISTRAÇÃO,,,,,,X,,X,,,,X
21316,X,,47548,"MULTIFUNCIONAL,SCANNER,FAX,IMPRESSORA OFFICEJET PRO 8600 HP/HP/OFFICE PRO 8600",000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,ADMINISTRAÇÃO,,,,,,X,,X,,,X,
21317,X,,47549,"MULTIFUNCIONAL,SCANNER,FAX,IMPRESSORA OFFICEJET PRO 8600 HP/HP/OFFICE PRO 8600",000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,ADMINISTRAÇÃO,,,,,,X,,X,,,X,
21318,X,,47551,"MULTIFUNCIONAL,SCANNER,FAX,IMPRESSORA OFFICEJET PRO 8600 HP/HP/OFFICE PRO 8600",000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,ADMINISTRAÇÃO,,,,,,X,,X,,,X,
21319,X,,47552,"MULTIFUNCIONAL,SCANNER,FAX,IMPRESSORA OFFICEJET PRO 8600 HP/HP/OFFICE PRO 8600",000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,ADMINISTRAÇÃO,,,,,,X,,X,,,X,
21320,X,,47553,"MULTIFUNCIONAL,SCANNER,FAX,IMPRESSORA OFFICEJET PRO 8600 HP/HP/OFFICE PRO 8600",000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,ADMINISTRAÇÃO,,,,,,X,,X,,,X,
21321,X,,47554,"MULTIFUNCIONAL,SCANNER,FAX,IMPRESSORA OFFICEJET PRO 8600 HP/HP/OFFICE PRO 8600",000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,ADMINISTRAÇÃO,,,,,,X,,X,,,X,
21322,X,,47555,"MULTIFUNCIONAL,SCANNER,FAX,IMPRESSORA OFFICEJET PRO 8600 HP/HP/OFFICE PRO 8600",000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,ADMINISTRAÇÃO,,,,,,X,,X,,,X,
