DEPARTAMENTO,TOMBAMENTO,TOMBAMENTO SINVREA,DESCRIÇÃO DO BEM,REF. CONTÁBIL,ESTADO DE CONSERVAÇÃO,CLASSIFICAÇÃO DO BEM,RELACIONADO,DESCRIÇÃO AQUISIÇÃO,VALOR TABELA VIPE,,,
DELEGACIA GERAL ,1,511291,AUTOMÓVEL/VEÍCULO DE PASSEIO,1.2.3.1.1.05.03,BOM,SERVÍVEL,NÃO,DOAÇÃO,,,,
DELEGACIA GERAL ,2,521397,AUTOMÓVEL/VEÍCULO DE PASSEIO,1.2.3.1.1.05.03,,SERVÍVEL,NÃO,DOAÇÃO,16810,,,
DELEGACIA GERAL ,3,536168,AUTOMÓVEL/VEÍCULO DE PASSEIO,1.2.3.1.1.05.03,,SERVÍVEL,NÃO,DOAÇÃO,14712,,,
DELEGACIA GERAL ,4,536214,AUTOMÓVEL/VEÍCULO DE PASSEIO,1.2.3.1.1.05.03,,SERVÍVEL,NÃO,DOAÇÃO,14712,,,
DELEGACIA GERAL ,5,510553,QUADRO MURAL/NEGRO/LOUSA/CELOTEX,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,6,510598,QUADRO MURAL/NEGRO/LOUSA/CELOTEX,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,7,510627,QUADRO MURAL/NEGRO/LOUSA/CELOTEX,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,8,510659,QUADRO MURAL/NEGRO/LOUSA/CELOTEX,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,9,510678,QUADRO MURAL/NEGRO/LOUSA/CELOTEX,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,11,510825,QUADRO MURAL/NEGRO/LOUSA/CELOTEX,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,12,510858,QUADRO MURAL/NEGRO/LOUSA/CELOTEX,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,13,510878,QUADRO MURAL/NEGRO/LOUSA/CELOTEX,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,14,510884,QUADRO MURAL/NEGRO/LOUSA/CELOTEX,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,15,510925,QUADRO MURAL/NEGRO/LOUSA/CELOTEX,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,16,510969,QUADRO MURAL/NEGRO/LOUSA/CELOTEX,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,17,510980,QUADRO MURAL/NEGRO/LOUSA/CELOTEX,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,18,512292,MESA ( REDONDA / OVAL / QUADRADA ) / ESTAÇÃO DE TRABALHO,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,19,512322,MESA ( REDONDA / OVAL / QUADRADA ) / ESTAÇÃO DE TRABALHO,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,20,512370,MESA ( REDONDA / OVAL / QUADRADA ) / ESTAÇÃO DE TRABALHO,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
